full Date,Day,Month,year,Open Today,Open 1d,High 1d,Low 1d,Close 1d,Adj Close 1d,Volume 1d,Open 2d,High 2d,Low 2d,Close 2d,Adj Close 2d,Volume 2d,Open 3d,High 3d,Low 3d,Close 3d,Adj Close 3d,Volume 3d,Up Today
20-05-97,3,5,1997,1.729167,1.760417,1.770833,1.625,1.708333,1.708333,6106800,1.96875,1.979167,1.708333,1.729167,1.729167,14700000,2.4375,2.5,1.927083,1.958333,1.958333,72156000,0
21-05-97,4,5,1997,1.635417,1.729167,1.75,1.635417,1.635417,1.635417,5467200,1.760417,1.770833,1.625,1.708333,1.708333,6106800,1.96875,1.979167,1.708333,1.729167,1.729167,14700000,0
22-05-97,5,5,1997,1.4375,1.635417,1.645833,1.375,1.427083,1.427083,18853200,1.729167,1.75,1.635417,1.635417,1.635417,5467200,1.760417,1.770833,1.625,1.708333,1.708333,6106800,0
23-05-97,6,5,1997,1.40625,1.4375,1.447917,1.3125,1.395833,1.395833,11776800,1.635417,1.645833,1.375,1.427083,1.427083,18853200,1.729167,1.75,1.635417,1.635417,1.635417,5467200,1
27-05-97,3,5,1997,1.510417,1.40625,1.520833,1.333333,1.5,1.5,15937200,1.4375,1.447917,1.3125,1.395833,1.395833,11776800,1.635417,1.645833,1.375,1.427083,1.427083,18853200,1
28-05-97,4,5,1997,1.625,1.510417,1.645833,1.458333,1.583333,1.583333,8697600,1.40625,1.520833,1.333333,1.5,1.5,15937200,1.4375,1.447917,1.3125,1.395833,1.395833,11776800,0
29-05-97,5,5,1997,1.541667,1.625,1.635417,1.53125,1.53125,1.53125,4574400,1.510417,1.645833,1.458333,1.583333,1.583333,8697600,1.40625,1.520833,1.333333,1.5,1.5,15937200,0
30-05-97,6,5,1997,1.5,1.541667,1.541667,1.479167,1.505208,1.505208,3472800,1.625,1.635417,1.53125,1.53125,1.53125,4574400,1.510417,1.645833,1.458333,1.583333,1.583333,8697600,1
02-06-97,2,6,1997,1.510417,1.5,1.510417,1.479167,1.5,1.5,2594400,1.541667,1.541667,1.479167,1.505208,1.505208,3472800,1.625,1.635417,1.53125,1.53125,1.53125,4574400,1
03-06-97,3,6,1997,1.53125,1.510417,1.53125,1.5,1.510417,1.510417,591600,1.5,1.510417,1.479167,1.5,1.5,2594400,1.541667,1.541667,1.479167,1.505208,1.505208,3472800,0
