full date,Day,Month,year,Open Today,Open 1d,High 1d,Low 1d,Close 1d,Adj Close 1d,Volume 1d,Open 2d,High 2d,Low 2d,Close 2d,Adj Close 2d,Volume 2d,Open 3d,High 3d,Low 3d,Close 3d,Adj Close 3d,Volume 3d,Up Today
38223,3,8,2004,55.675674,55.430431,56.796795,54.579578,54.754753,54.754753,18256100,50.555557,54.594593,50.300301,54.209209,54.209209,22834300,50.050049,52.082081,48.028027,50.220219,50.220219,44659000,0
38224,4,8,2004,52.532532,55.675674,55.855854,51.836838,52.487488,52.487488,15247300,55.430431,56.796795,54.579578,54.754753,54.754753,18256100,50.555557,54.594593,50.300301,54.209209,54.209209,22834300,1
38225,5,8,2004,52.527527,52.532532,54.054054,51.991993,53.053055,53.053055,9188600,55.675674,55.855854,51.836838,52.487488,52.487488,15247300,55.430431,56.796795,54.579578,54.754753,54.754753,18256100,1
38226,6,8,2004,54.104103,52.527527,54.02903,52.382381,54.00901,54.00901,7094800,52.532532,54.054054,51.991993,53.053055,53.053055,9188600,55.675674,55.855854,51.836838,52.487488,52.487488,15247300,0
38229,2,8,2004,52.692692,54.104103,54.364365,52.8979,53.128128,53.128128,6211700,52.527527,54.02903,52.382381,54.00901,54.00901,7094800,52.532532,54.054054,51.991993,53.053055,53.053055,9188600,0
38230,3,8,2004,51.201202,52.692692,52.797798,51.056057,51.056057,51.056057,5196700,54.104103,54.364365,52.8979,53.128128,53.128128,6211700,52.527527,54.02903,52.382381,54.00901,54.00901,7094800,1
38231,4,9,2004,51.401402,51.201202,51.906906,51.13113,51.236237,51.236237,4917800,52.692692,52.797798,51.056057,51.056057,51.056057,5196700,54.104103,54.364365,52.8979,53.128128,53.128128,6211700,0
38232,5,9,2004,49.644646,51.401402,51.536537,49.884884,50.175175,50.175175,9138200,51.201202,51.906906,51.13113,51.236237,51.236237,4917800,52.692692,52.797798,51.056057,51.056057,51.056057,5196700,1
38233,6,9,2004,50.525524,49.644646,51.236237,49.51952,50.805805,50.805805,15118600,51.401402,51.536537,49.884884,50.175175,50.175175,9138200,51.201202,51.906906,51.13113,51.236237,51.236237,4917800,0
38237,3,9,2004,50.555557,50.525524,50.920921,49.709709,50.055054,50.055054,5152400,49.644646,51.236237,49.51952,50.805805,50.805805,15118600,51.401402,51.536537,49.884884,50.175175,50.175175,9138200,1
